Year,State,Revenue,Sales,Number of Customers,Price,Sector
2011,ND,390772,4552228,330738,8.58,Residential
2011,NE,927342,9946973,805671,9.32,Residential
2011,NH,735832,4454088,599532,16.52,Residential
2011,NJ,4772503,29398870,3457325,16.23,Residential
2011,NM,755858,6873748,856128,11,Residential
2011,NV,1334069,11493279,1067944,11.61,Residential
2011,NY,9356966,51239599,6987631,18.26,Residential
2011,OH,6133425,53687111,4874482,11.42,Residential
2011,OK,2313030,24425027,1667223,9.47,Residential
2011,OR,1852603,19429175,1633551,9.54,Residential
2011,PA,7265435,54795633,5249827,13.26,Residential
2011,RI,448530,3129446,432430,14.33,Residential
2011,SC,3404928,30801731,2101585,11.05,Residential
2011,SD,434655,4646384,374260,9.35,Residential
2011,TN,4298018,43067861,2708113,9.98,Residential
2011,TX,16141983,145654228,9621481,11.08,Residential
2011,UT,801966,8946741,946468,8.96,Residential
2011,VA,4871349,45771144,3225395,10.64,Residential
2011,VT,345525,2124533,308992,16.26,Residential
2011,WA,3010493,36376143,2837631,8.28,Residential
2011,WI,2884512,22149941,2601879,13.02,Residential
2011,WV,1103040,11746151,868036,9.39,Residential
2011,WY,255263,2802726,258528,9.11,Residential
2011,US,166713948,1422801093,126143072,11.72,Residential
2010,AK,340340,2093217,271956,16.26,Residential
2010,AL,3790734,35529292,2138911,10.67,Residential
2010,AR,1702938,19230961,1322833,8.86,Residential
2010,AZ,3558161,32448138,2554213,10.97,Residential
2010,CA,12873565,87256946,12947917,14.75,Residential
2010,CO,1997858,18102386,2128507,11.04,Residential
2010,CT,2514466,13065275,1451808,19.25,Residential
2010,DC,297450,2123312,227550,14.01,Residential
2010,DE,657103,4759973,396114,13.8,Residential
2010,FL,13982240,122244650,8529204,11.44,Residential
2010,GA,6198370,61554498,4054145,10.07,Residential
2010,HI,840072,2989499,414568,28.1,Residential
2010,IA,1516862,14554888,1327896,10.42,Residential
2010,ID,649759,8136736,664717,7.99,Residential
2010,IL,5599019,48582984,5070056,11.52,Residential
2010,IN,3350355,35058372,2742789,9.56,Residential
2010,KS,1437102,14334086,1213036,10.03,Residential
2010,KY,2496770,29136518,1930666,8.57,Residential
2010,LA,2935169,32678931,1973174,8.98,Residential
2010,MA,3124528,21409005,2674717,14.59,Residential
2010,MD,4142935,28934074,2200368,14.32,Residential
2010,ME,687037,4371835,699625,15.72,Residential
2010,MI,4320775,34680715,4245158,12.46,Residential
2010,MN,2379113,22464797,2300291,10.59,Residential
2010,MO,3385582,37302279,2695809,9.08,Residential
2010,MS,1991612,20174826,1250149,9.87,Residential
2010,MT,434420,4742794,467878,9.16,Residential
2010,NC,6288493,62160107,4185540,10.12,Residential
2010,ND,357052,4392596,326409,8.13,Residential
2010,NE,903393,10106673,801101,8.94,Residential
2010,NH,732038,4485469,597411,16.32,Residential
2010,NJ,5021997,30307268,3454840,16.57,Residential
2010,NM,710548,6752473,853811,10.52,Residential
2010,NV,1435699,11614669,1058519,12.36,Residential
2010,NY,9547884,50945648,6954916,18.74,Residential
2010,OH,6161970,54474377,4877229,11.31,Residential
2010,OK,2164328,23688861,1660653,9.14,Residential
2010,OR,1671727,18838666,1629076,8.87,Residential
2010,PA,7017223,55252837,5244278,12.7,Residential
2010,RI,496481,3117808,430623,15.92,Residential
2010,SC,3449574,32852086,2089302,10.5,Residential
2010,SD,415338,4628123,370566,8.97,Residential
2010,TN,4172362,45191027,2704054,9.23,Residential
2010,TX,15905877,137161402,9536778,11.6,Residential
2010,UT,769145,8834230,936602,8.71,Residential
2010,VA,5061603,48438958,3258959,10.45,Residential
2010,VT,331390,2127935,307839,15.57,Residential
2010,WA,2805591,34906926,2825281,8.04,Residential
2010,WI,2820621,22299493,2594698,12.65,Residential
2010,WV,1094174,12442583,867948,8.79,Residential
2010,WY,239198,2727201,257447,8.77,Residential
2010,US,166778041,1445708403,125717935,11.54,Residential
2021,AK,501658,2558649,56005,19.61,Commercial
2021,AL,2586968,21844283,376180,11.84,Commercial
2021,AR,1101412,11516908,201408,9.56,Commercial
2021,AZ,3098754,29990064,335377,10.33,Commercial
2021,CA,20861069,108761594,1750923,19.18,Commercial
2021,CO,2232288,20584470,388601,10.84,Commercial
2021,CT,1926205,11701168,155791,16.46,Commercial
2021,DC,915415,7043709,26783,13,Commercial
2021,DE,397960,4196263,58353,9.48,Commercial
2021,FL,8931651,93965070,1272939,9.51,Commercial
2021,GA,4858538,45777026,599964,10.61,Commercial
2021,HI,859804,2784538,59935,30.88,Commercial
2021,IA,1234385,12135097,246568,10.17,Commercial
2021,ID,520870,6600296,117323,7.89,Commercial
2021,IL,4529428,46923210,633019,9.65,Commercial
2021,IN,2653827,22920929,364549,11.58,Commercial
2021,KS,1615098,15356451,245045,10.52,Commercial
2021,KY,2008535,18685936,316806,10.75,Commercial
2021,LA,2297883,22459648,297724,10.23,Commercial
2021,MA,4048413,23832465,432903,16.99,Commercial
2021,MD,2814081,27437050,257947,10.26,Commercial
2021,ME,509428,3948896,98304,12.9,Commercial
2021,MI,4537108,36860868,550701,12.31,Commercial
2021,MN,2478396,22093189,306605,11.22,Commercial
2021,MO,2657624,28987412,395150,9.17,Commercial
2021,MS,1478569,13676163,241509,10.81,Commercial
2021,MT,517065,4906132,112777,10.54,Commercial
2021,NC,4053567,47714832,731526,8.5,Commercial
2021,ND,624295,6808316,77174,9.17,Commercial
2021,NE,815530,9260421,157335,8.81,Commercial
2021,NH,662376,4106692,110003,16.13,Commercial
2021,NJ,4585342,36137241,529178,12.69,Commercial
2021,NM,935011,8655826,146312,10.8,Commercial
2021,NV,954732,12293815,171686,7.77,Commercial
2021,NY,11238347,69920488,1161852,16.07,Commercial
2021,OH,4385397,44980452,640013,9.75,Commercial
2021,OK,1739517,19999312,296856,8.7,Commercial
2021,OR,1503117,16508755,242237,9.11,Commercial
2021,PA,3295183,36988112,725725,8.91,Commercial
2021,RI,558933,3604518,60091,15.51,Commercial
2021,SC,2253779,21114323,402005,10.67,Commercial
2021,SD,486369,4791689,74987,10.15,Commercial
2021,TN,3789845,34863397,519798,10.87,Commercial
2021,TX,12897917,147843231,1552641,8.72,Commercial
2021,UT,992418,12206510,139168,8.13,Commercial
2021,VA,4575242,58723978,442263,7.79,Commercial
2021,VT,309772,1867111,60403,16.59,Commercial
2021,WA,2618513,28637381,394023,9.14,Commercial
2021,WI,2547820,23266013,361589,10.95,Commercial
2021,WV,679560,7156304,148231,9.5,Commercial
2021,WY,333214,3443297,58019,9.68,Commercial
2021,US,149008224,1328439498,19102304,11.22,Commercial
2020,AK,494103,2524116,61993,19.58,Commercial
2020,AL,2460395,21307775,371888,11.55,Commercial
2020,AR,956720,11110416,197869,8.61,Commercial
2020,AZ,2944348,29128178,331229,10.11,Commercial
2020,CA,18757401,107006347,1725533,17.53,Commercial
2020,CO,2062508,20042218,384518,10.29,Commercial
2020,CT,1848336,11145896,154894,16.58,Commercial
2020,DC,807759,6814560,26672,11.85,Commercial
2020,DE,374876,4082497,56764,9.18,Commercial
2020,FL,8181315,92493736,1256569,8.85,Commercial
2020,GA,4466257,44301529,592220,10.08,Commercial
2020,HI,762527,2684301,59734,28.41,Commercial
2020,IA,1155688,11605738,243762,9.96,Commercial
2020,ID,488956,6309927,114707,7.75,Commercial
2020,IL,4160567,45486577,628868,9.15,Commercial
2020,IN,2465067,21996478,363465,11.21,Commercial
2020,KS,1544299,14843319,236430,10.4,Commercial
2020,KY,1867406,18061357,312014,10.34,Commercial
2020,LA,1982599,22398708,296222,8.85,Commercial
2020,MA,3706930,23120500,411448,16.03,Commercial
2020,MD,2572151,26451864,256738,9.72,Commercial
2020,ME,479414,3815653,97575,12.56,Commercial
2020,MI,4156478,35490797,546115,11.71,Commercial
2020,MN,2244659,21526677,303702,10.43,Commercial
2020,MO,2495141,27931047,387872,8.93,Commercial
2020,MS,1368949,13185143,237370,10.38,Commercial
2020,MT,494421,4702353,110977,10.51,Commercial
2020,NC,3989150,45905051,710220,8.69,Commercial
2020,ND,598966,6641700,76834,9.02,Commercial
2020,NE,807988,9090239,155282,8.89,Commercial
2020,NH,621042,4029709,109068,15.41,Commercial
2020,NJ,4360716,35315617,526725,12.35,Commercial
2020,NM,863824,8406884,145459,10.28,Commercial
2020,NV,892503,11983740,169743,7.45,Commercial
2020,NY,10044876,68988817,1143347,14.56,Commercial
2020,OH,4116142,43204165,636519,9.53,Commercial
2020,OK,1463053,18698988,290192,7.82,Commercial
2020,OR,1417933,15748914,239645,9,Commercial
2020,PA,3006398,35381006,720919,8.5,Commercial
2020,RI,566168,3551262,60057,15.94,Commercial
2020,SC,2156567,20834372,395288,10.35,Commercial
2020,SD,453276,4696475,74236,9.65,Commercial
2020,TN,3535442,33480189,501589,10.56,Commercial
2020,TX,11030926,145167577,1539553,7.6,Commercial
2020,UT,942516,11395032,135113,8.27,Commercial
2020,VA,4085686,53526846,437477,7.63,Commercial
2020,VT,295914,1805738,59554,16.39,Commercial
2020,WA,2436452,27307412,389802,8.92,Commercial
2020,WI,2412932,22436275,360316,10.75,Commercial
2020,WV,654036,6955844,146769,9.4,Commercial
2020,WY,320504,3320024,57958,9.65,Commercial
2020,US,136372272,1287439583,18848813,10.59,Commercial
2019,AK,522388,2638846,55080,19.8,Commercial
2019,AL,2657626,23076470,369798,11.52,Commercial
2019,AR,1049648,11948689,198861,8.78,Commercial
2019,AZ,3013741,29415272,326191,10.25,Commercial
2019,CA,19052164,114279373,1718601,16.67,Commercial
2019,CO,2202661,21111259,380609,10.43,Commercial
2019,CT,2035899,12157788,151979,16.75,Commercial
2019,DC,974995,7952305,26471,12.26,Commercial
2019,DE,421499,4421465,55802,9.53,Commercial
2019,FL,8950252,96566532,1240902,9.27,Commercial
2019,GA,4751931,47411823,585573,10.02,Commercial
2019,HI,893824,3057866,59878,29.23,Commercial
2019,IA,1230296,12309610,241734,9.99,Commercial
2019,ID,493892,6440943,112137,7.67,Commercial
2019,IL,4475930,49278746,622802,9.08,Commercial
2019,IN,2593902,23517681,358791,11.03,Commercial
2019,KS,1637848,15916325,235236,10.29,Commercial
2019,KY,1990820,19611510,309830,10.15,Commercial
2019,LA,2163564,24284298,295153,8.91,Commercial
2019,MA,4255443,25336834,410995,16.8,Commercial
2019,MD,2879566,28893335,256165,9.97,Commercial
2019,ME,532119,4148305,99738,12.83,Commercial
2019,MI,4313039,37860783,544690,11.39,Commercial
2019,MN,2369105,22904299,299995,10.34,Commercial
2019,MO,2733866,30133114,384787,9.07,Commercial
2019,MS,1497763,14238982,237625,10.52,Commercial
2019,MT,515875,4956080,109459,10.41,Commercial
2019,NC,4330825,49173038,705587,8.81,Commercial
2019,ND,633843,7035031,76355,9.01,Commercial
2019,NE,836870,9456725,153814,8.85,Commercial
2019,NH,682119,4280854,108247,15.93,Commercial
2019,NJ,4650585,38012684,523796,12.23,Commercial
2019,NM,884212,9028861,144960,9.79,Commercial
2019,NV,938867,11681186,167628,8.04,Commercial
2019,NY,10556658,75090820,1121107,14.06,Commercial
2019,OH,4469895,46008937,632794,9.72,Commercial
2019,OK,1603441,20085991,285641,7.98,Commercial
2019,OR,1453026,16422975,240488,8.85,Commercial
2019,PA,3498024,40142710,716992,8.71,Commercial
2019,RI,597112,3644482,60672,16.38,Commercial
2019,SC,2344564,22168328,385285,10.58,Commercial
2019,SD,468846,4888034,73549,9.59,Commercial
2019,TN,3850725,36151394,497497,10.65,Commercial
2019,TX,11440049,142001524,1537111,8.06,Commercial
2019,UT,979491,11860449,132082,8.26,Commercial
2019,VA,4417182,53981176,434175,8.18,Commercial
2019,VT,309173,1934464,58320,15.98,Commercial
2019,WA,2561371,29269638,389147,8.75,Commercial
2019,WI,2525071,23546114,356561,10.72,Commercial
2019,WV,693448,7567130,145225,9.16,Commercial
2019,WY,344712,3575477,58325,9.64,Commercial
2019,US,145279763,1360876555,18694240,10.68,Commercial
2018,AK,491609,2646058,53957,18.58,Commercial
2018,AL,2639244,23483072,371097,11.24,Commercial
2018,AR,951473,12278279,196482,7.75,Commercial
2018,AZ,3158290,29683550,322135,10.64,Commercial
2018,CA,18924312,115786492,1714875,16.34,Commercial
2018,CO,2105709,21023300,376104,10.02,Commercial
2018,CT,2074987,12381063,153824,16.76,Commercial
2018,DC,985752,8236225,26336,11.97,Commercial
2018,DE,419179,4342340,54904,9.65,Commercial
2018,FL,8845109,96265276,1229559,9.19,Commercial
2018,GA,4633071,47311675,579468,9.79,Commercial
2018,HI,906817,3033009,59661,29.9,Commercial
2018,IA,1202569,12417671,239703,9.68,Commercial
2018,ID,510534,6436893,110797,7.93,Commercial
2018,IL,4631432,50762829,616192,9.12,Commercial
2018,IN,2575962,24305199,354730,10.6,Commercial
2018,KS,1723136,16168750,234091,10.66,Commercial
2018,KY,1945913,19980485,305417,9.74,Commercial
2018,LA,2184935,24690904,292752,8.85,Commercial
2018,MA,4456596,25952481,408972,17.17,Commercial
2018,MD,3082523,29547518,254163,10.43,Commercial
2018,ME,556411,4447245,96066,12.51,Commercial
2018,MI,4339291,38925268,543261,11.15,Commercial
2018,MN,2429217,23398557,295855,10.38,Commercial
2018,MO,2931288,31179283,384493,9.4,Commercial
2018,MS,1515723,14530226,236871,10.43,Commercial
2018,MT,497390,4921231,108695,10.11,Commercial
2018,NC,4228751,49298402,691673,8.58,Commercial
2018,ND,621753,6835913,75148,9.1,Commercial
2018,NE,843309,9553396,153749,8.83,Commercial
2018,NH,702541,4442560,107805,15.81,Commercial
2018,NJ,4736982,38807065,521429,12.21,Commercial
2018,NM,905498,9035272,143874,10.02,Commercial
2018,NV,938631,12123896,164982,7.74,Commercial
2018,NY,11128003,76745463,1106650,14.5,Commercial
2018,OH,4768817,47191540,630210,10.11,Commercial
2018,OK,1712885,21229143,282875,8.07,Commercial
2018,OR,1467790,16470027,237942,8.91,Commercial
2018,PA,3864304,43221520,716936,8.94,Commercial
2018,RI,613083,3697587,60128,16.58,Commercial
2018,SC,2247543,22232833,376842,10.11,Commercial
2018,SD,471755,4903243,72106,9.62,Commercial
2018,TN,3881859,36930451,491567,10.51,Commercial
2018,TX,11714651,143524631,1591150,8.16,Commercial
2018,UT,994353,12083833,130053,8.23,Commercial
2018,VA,4346838,52268211,431058,8.32,Commercial
2018,VT,305338,2003515,57037,15.24,Commercial
2018,WA,2562244,29396404,384366,8.72,Commercial
2018,WI,2571408,24093421,354557,10.67,Commercial
2018,WV,718595,7774429,144478,9.24,Commercial
2018,WY,359772,3757211,58318,9.58,Commercial
2018,US,147425170,1381754845,18605393,10.67,Commercial
2017,AK,510932,2704890,53472,18.89,Commercial
2017,AL,2637503,22743813,369984,11.6,Commercial
2017,AR,1013943,11912518,191879,8.51,Commercial
2017,AZ,3115269,29681441,320562,10.5,Commercial
2017,CA,18552245,117682380,1696071,15.76,Commercial
2017,CO,2041429,20640793,370691,9.89,Commercial
2017,CT,1981398,12335414,152903,16.06,Commercial
2017,DC,933369,8006225,26111,11.66,Commercial
2017,DE,413794,4184668,54105,9.89,Commercial
2017,FL,8881601,95003681,1216939,9.35,Commercial
2017,GA,4667211,46265427,572861,10.09,Commercial
2017,HI,825062,3081632,61236,26.77,Commercial
2017,IA,1148435,12135026,237942,9.46,Commercial
2017,ID,512664,6421001,108965,7.98,Commercial
2017,IL,4542608,49987885,611670,9.09,Commercial
2017,IN,2494593,23656990,352015,10.54,Commercial
2017,KS,1667404,15739290,232078,10.59,Commercial
2017,KY,1900421,19292518,304457,9.85,Commercial
2017,LA,2192502,24500349,291404,8.95,Commercial
2017,MA,4138004,25968044,409715,15.94,Commercial
2017,MD,3106559,28893046,252966,10.75,Commercial
2017,ME,474531,3916786,99331,12.12,Commercial
2017,MI,4217018,38325322,542959,11,Commercial
2017,MN,2438774,23273897,292859,10.48,Commercial
2017,MO,2858219,30176974,381634,9.47,Commercial
2017,MS,1449402,14256157,235245,10.17,Commercial
2017,MT,502970,4970119,107147,10.12,Commercial
2017,NC,4042918,47890455,680967,8.44,Commercial
2017,ND,600239,6529910,74527,9.19,Commercial
2017,NE,822118,9293401,151485,8.85,Commercial
2017,NH,649944,4389838,107436,14.81,Commercial
2017,NJ,4663077,37971404,517404,12.28,Commercial
2017,NM,895321,8784312,143326,10.19,Commercial
2017,NV,885747,11122755,163356,7.96,Commercial
2017,NY,11111277,75333485,1089889,14.75,Commercial
2017,OH,4639989,46158399,627168,10.05,Commercial
2017,OK,1661847,20498860,281267,8.11,Commercial
2017,OR,1467501,16570754,233823,8.86,Commercial
2017,PA,3826399,42622565,698453,8.98,Commercial
2017,RI,547549,3603085,59447,15.2,Commercial
2017,SC,2300878,21758082,373073,10.57,Commercial
2017,SD,459762,4722666,71263,9.74,Commercial
2017,TN,3558682,33727208,484324,10.55,Commercial
2017,TX,11352259,137485841,1514712,8.26,Commercial
2017,UT,1014847,11739121,127113,8.65,Commercial
2017,VA,4023032,50200525,422256,8.01,Commercial
2017,VT,288831,1976594,56388,14.61,Commercial
2017,WA,2553289,29799505,381028,8.57,Commercial
2017,WI,2570834,23641127,351707,10.87,Commercial
2017,WV,722937,7549430,143951,9.58,Commercial
2017,WY,364808,3762086,57863,9.7,Commercial
2017,US,144241940,1352887694,18359427,10.66,Commercial
2016,AK,479547,2731499,52804,17.56,Commercial
2016,AL,2626821,23634474,367009,11.11,Commercial
2016,AR,1002233,12177633,190181,8.23,Commercial
2016,AZ,3078184,29564157,318197,10.41,Commercial
2016,CA,17603177,116774684,1692326,15.07,Commercial
2016,CO,1996042,20800136,367001,9.6,Commercial
2016,CT,2000464,12701264,152182,15.75,Commercial
2016,DC,980630,8368479,25924,11.72,Commercial
2016,DE,426492,4235231,53366,10.07,Commercial
2016,FL,8506823,95547214,1199897,8.9,Commercial
2016,GA,4687610,47761768,567431,9.81,Commercial
2016,HI,766699,3111282,60836,24.64,Commercial
2016,IA,1126795,12291332,235813,9.17,Commercial
2016,ID,487083,6279129,107551,7.76,Commercial
2016,IL,4591721,50910054,606954,9.02,Commercial
2016,IN,2425318,24228779,350645,10.01,Commercial
2016,KS,1663730,15887392,232926,10.47,Commercial
2016,KY,1912414,19981122,302040,9.57,Commercial
2016,LA,2139380,24895713,289780,8.59,Commercial
2016,MA,4045730,25933809,402936,15.6,Commercial
2016,MD,3262005,29675993,250939,10.99,Commercial
2016,ME,481742,3986488,97949,12.08,Commercial
2016,MI,4146763,38985906,538677,10.64,Commercial
2016,MN,2316287,23501739,291569,9.86,Commercial
2016,MO,2845734,30728480,376711,9.26,Commercial
2016,MS,1390347,14522538,232885,9.57,Commercial
2016,MT,492348,4831636,105934,10.19,Commercial
2016,NC,4189494,48604221,672610,8.62,Commercial
2016,ND,580437,6346158,73573,9.15,Commercial
2016,NE,818933,9306827,149812,8.8,Commercial
2016,NH,644623,4466192,106900,14.43,Commercial
2016,NJ,4740342,38672407,514579,12.26,Commercial
2016,NM,858346,8805876,141723,9.75,Commercial
2016,NV,787864,9929076,161594,7.93,Commercial
2016,NY,11054211,76506968,1072896,14.45,Commercial
2016,OH,4762070,47742269,623730,9.97,Commercial
2016,OK,1585720,20695703,278027,7.66,Commercial
2016,OR,1430623,16060478,231692,8.91,Commercial
2016,PA,4013869,43535432,696080,9.22,Commercial
2016,RI,543194,3651317,58907,14.88,Commercial
2016,SC,2288955,22274962,369409,10.28,Commercial
2016,SD,450258,4698053,70745,9.58,Commercial
2016,TN,3612206,35438903,480032,10.19,Commercial
2016,TX,11483766,139104274,1447247,8.26,Commercial
2016,UT,1012493,11565312,124540,8.75,Commercial
2016,VA,3908785,49263847,430877,7.93,Commercial
2016,VT,292867,2014045,55601,14.54,Commercial
2016,WA,2443432,28989062,367847,8.43,Commercial
2016,WI,2572429,23884088,349324,10.77,Commercial
2016,WV,731809,7825670,142711,9.35,Commercial
2016,WY,353660,3762315,57434,9.4,Commercial
2016,US,142642502,1367191386,18148353,10.43,Commercial
2015,AK,481839,2763491,50642,17.44,Commercial
2015,AL,2538645,23437831,362871,10.83,Commercial
2015,AR,1011199,12153236,187706,8.32,Commercial
2015,AZ,3042894,29284431,314756,10.39,Commercial
2015,CA,18627081,118384093,1685688,15.73,Commercial
2015,CO,2016563,20408085,365563,9.88,Commercial
2015,CT,2069571,12958570,152482,15.97,Commercial
2015,DC,987107,8221610,25439,12.01,Commercial
2015,DE,432571,4219085,52786,10.25,Commercial
2015,FL,9106202,95847051,1183241,9.5,Commercial
2015,GA,4662637,47151316,560950,9.89,Commercial
2015,HI,854791,3174462,60631,26.93,Commercial
2015,IA,1076729,12071781,227544,8.92,Commercial
2015,ID,488546,6263642,106451,7.8,Commercial
2015,IL,4540480,50319815,603187,9.02,Commercial
2015,IN,2349168,24021689,350474,9.78,Commercial
2015,KS,1553019,15380339,228411,10.1,Commercial
2015,KY,1848262,19589209,299462,9.44,Commercial
2015,LA,2165878,24996178,298170,8.66,Commercial
2015,MA,4135789,26200307,407063,15.79,Commercial
2015,MD,3295693,29959115,249181,11,Commercial
2015,ME,501148,4017822,97057,12.47,Commercial
2015,MI,4057255,38440734,532858,10.55,Commercial
2015,MN,2207024,23388015,289044,9.44,Commercial
2015,MO,2797527,30535443,373622,9.16,Commercial
2015,MS,1517771,14391682,231388,10.55,Commercial
2015,MT,500514,4894095,104325,10.23,Commercial
2015,NC,4210468,48236147,665198,8.73,Commercial
2015,ND,554633,6278868,71210,8.83,Commercial
2015,NE,807429,9307834,149820,8.67,Commercial
2015,NH,672092,4491173,105833,14.96,Commercial
2015,NJ,4952384,38722730,512894,12.79,Commercial
2015,NM,914719,8877046,142031,10.3,Commercial
2015,NV,889432,9613997,160492,9.25,Commercial
2015,NY,11785740,77005625,1055136,15.31,Commercial
2015,OH,4743183,47123923,620810,10.07,Commercial
2015,OK,1588067,20691105,277386,7.68,Commercial
2015,OR,1410427,16021066,229116,8.8,Commercial
2015,PA,4199202,43745173,690881,9.6,Commercial
2015,RI,584484,3704812,58903,15.78,Commercial
2015,SC,2239686,21927007,357724,10.21,Commercial
2015,SD,434765,4748637,69872,9.16,Commercial
2015,TN,3553029,34981552,476405,10.16,Commercial
2015,TX,11115260,136323562,1425780,8.15,Commercial
2015,UT,1001542,11614593,121310,8.62,Commercial
2015,VA,3969545,48347037,428369,8.21,Commercial
2015,VT,292344,2010568,53610,14.54,Commercial
2015,WA,2405629,29266512,365095,8.22,Commercial
2015,WI,2561808,23514103,347456,10.89,Commercial
2015,WV,671690,7800740,141681,8.61,Commercial
2015,WY,358000,3924590,57686,9.12,Commercial
2015,US,144781453,1360751527,17985690,10.64,Commercial
2014,AK,472078,2761518,51017,17.09,Commercial
2014,AL,2473586,22929309,360901,10.79,Commercial
2014,AR,964795,11988033,185842,8.05,Commercial
2014,AZ,2967741,29289879,312221,10.13,Commercial
2014,CA,18663231,119494062,1676201,15.62,Commercial
2014,CO,2029053,20129360,360237,10.08,Commercial
2014,CT,2004629,12893531,155372,15.55,Commercial
2014,DC,1042419,8548237,26463,12.19,Commercial
2014,DE,440657,4197298,52203,10.5,Commercial
2014,FL,9169986,92925670,1180768,9.87,Commercial
2014,GA,4827025,46608275,552712,10.36,Commercial
2014,HI,1095476,3201898,60679,34.21,Commercial
2014,IA,1070319,12339098,224187,8.67,Commercial
2014,ID,476481,6127911,104463,7.78,Commercial
2014,IL,4687910,50619480,600246,9.26,Commercial
2014,IN,2403018,24129606,348699,9.96,Commercial
2014,KS,1558211,15382745,226043,10.13,Commercial
2014,KY,1807976,19156540,297182,9.44,Commercial
2014,LA,2229210,24492775,297789,9.1,Commercial
2014,MA,3827051,26076208,398717,14.68,Commercial
2014,MD,3324584,29804342,248362,11.15,Commercial
2014,ME,506147,3984570,91541,12.7,Commercial
2014,MI,4060031,37348927,522422,10.87,Commercial
2014,MN,2249026,22827840,284978,9.85,Commercial
2014,MO,2728701,30665251,371495,8.9,Commercial
2014,MS,1525368,14174583,230416,10.76,Commercial
2014,MT,472750,4903160,103132,9.64,Commercial
2014,NC,4157748,47509563,655841,8.75,Commercial
2014,ND,474723,5403497,67871,8.79,Commercial
2014,NE,831284,9525524,151382,8.73,Commercial
2014,NH,640173,4464530,105840,14.34,Commercial
2014,NJ,5015629,38154090,511335,13.15,Commercial
2014,NM,921898,8976354,139873,10.27,Commercial
2014,NV,892029,9418091,157984,9.47,Commercial
2014,NY,12340776,76540813,1045571,16.12,Commercial
2014,OH,4618293,47004594,619293,9.83,Commercial
2014,OK,1654314,20448774,275276,8.09,Commercial
2014,OR,1403691,16039418,229832,8.75,Commercial
2014,PA,4215606,43347918,690549,9.73,Commercial
2014,RI,532579,3657679,58346,14.56,Commercial
2014,SC,2225574,21655593,349432,10.28,Commercial
2014,SD,406420,4572324,69703,8.89,Commercial
2014,TN,3476761,33497350,471794,10.38,Commercial
2014,TX,11379847,139432095,1432478,8.16,Commercial
2014,UT,943134,11053251,117921,8.53,Commercial
2014,VA,3892715,47751655,422931,8.15,Commercial
2014,VT,295698,2030520,52453,14.56,Commercial
2014,WA,2313564,29040310,359219,7.97,Commercial
2014,WI,2558476,23757494,345907,10.77,Commercial
2014,WV,629468,7876429,140698,7.99,Commercial
2014,WY,355296,4000291,58178,8.88,Commercial
2014,US,145253154,1352158263,17853995,10.74,Commercial
2013,AK,440007,2824199,49182,15.58,Commercial
2013,AL,2376592,22603229,358712,10.51,Commercial
2013,AR,957321,11897953,182941,8.05,Commercial
2013,AZ,2957978,30039018,308857,9.85,Commercial
2013,CA,16597851,116857853,1691627,14.2,Commercial
2013,CO,1982037,20098218,358800,9.86,Commercial
2013,CT,1903714,13009103,150419,14.63,Commercial
2013,DC,1014908,8499143,26530,11.94,Commercial
2013,DE,423911,4157793,51673,10.2,Commercial
2013,FL,8653405,92144612,1175896,9.39,Commercial
2013,GA,4529223,45353153,554350,9.99,Commercial
2013,HI,1113961,3271200,60467,34.05,Commercial
2013,IA,1049965,12444635,222065,8.44,Commercial
2013,ID,460410,6250297,103400,7.37,Commercial
2013,IL,4110781,50472706,596672,8.14,Commercial
2013,IN,2328248,24252010,346933,9.6,Commercial
2013,KS,1475546,15245028,224515,9.68,Commercial
2013,KY,1798004,21004194,297108,8.56,Commercial
2013,LA,2173960,24253945,281835,8.96,Commercial
2013,MA,2521429,17713103,391856,14.23,Commercial
2013,MD,3201690,29966199,247168,10.68,Commercial
2013,ME,471461,4015604,89336,11.74,Commercial
2013,MI,4170783,37697520,520327,11.06,Commercial
2013,MN,2170780,23041186,281187,9.42,Commercial
2013,MO,2686659,30515252,371712,8.8,Commercial
2013,MS,1433114,14187814,228508,10.1,Commercial
2013,MT,466259,4889642,101216,9.54,Commercial
2013,NC,4085188,46648766,654747,8.76,Commercial
2013,ND,476912,5685146,66801,8.39,Commercial
2013,NE,807459,9387074,148648,8.6,Commercial
2013,NH,610718,4516866,105461,13.52,Commercial
2013,NJ,4883739,38231099,482105,12.77,Commercial
2013,NM,874970,8982563,138801,9.74,Commercial
2013,NV,838527,9301939,158355,9.01,Commercial
2013,NY,11721657,76342319,1040398,15.35,Commercial
2013,OH,4367476,46717859,613964,9.35,Commercial
2013,OK,1541200,19843129,271698,7.77,Commercial
2013,OR,1395822,16080354,235191,8.68,Commercial
2013,PA,3990880,43145011,689355,9.25,Commercial
2013,RI,473699,3667095,58317,12.92,Commercial
2013,SC,2086085,21120198,346026,9.88,Commercial
2013,SD,396838,4661845,69446,8.51,Commercial
2013,TN,3356761,33574605,469382,10,Commercial
2013,TX,10944864,136516037,1366825,8.02,Commercial
2013,UT,915606,11007765,116263,8.32,Commercial
2013,VA,3820166,47750595,422713,8,Commercial
2013,VT,295636,2016501,51733,14.66,Commercial
2013,WA,2307207,29658670,360855,7.78,Commercial
2013,WI,2542086,23658373,341657,10.75,Commercial
2013,WV,636469,7793517,139514,8.17,Commercial
2013,WY,348530,4066842,58015,8.57,Commercial
